Symbol	Description
CVB	Compass Gold Corporation
CVV	Canalaska Uranium Ltd
CVX	Cematrix Corp
CWC	Cwc Energy Services Corp
CWM	Crown Mining Corp
CWRK	Currencyworks Inc
CWV	Crown Point Energy Inc
CX	Clarmin Explorations Inc
CXO	Colorado Resources Ltd
CYF	Canyon Creek Food CO Ltd
CYL	Ceylon Graphite Corp
CYM	Cymat Technologies Ltd
CYP	Cypress Development Corp
CYX	Calyx Ventures Inc
CZ.H	Cassius Ventures Ltd
CZO	Ceapro Inc
CZR	Cruzsur Energy Corp
CZR.WT	Cruzsur Energy Corp WT
CZZ	Cleghorn Minerals Ltd
DAC	Datable Technology Corp
DAI.H	Datinvest International Ltd.
DAN	Arianne Phosphate Inc
DASH	Neptune Dash Technologies Corp
DAU	Desert Gold Ventures Inc
DB	Decibel Cannabis Company Inc.
DB.DB	Decibel Cannabis CO Inc 9.5 Pct Debs
DBV	Doubleview Capital Corp
DCMC	Dore Copper Mining Corp
DCOP	District Copper Corp
DCY	Discovery-Corp. Enterprises Inc
DDD.P	Dynamo Capital Corp
DE	Decisive Dividend Corp
DEC	Decade Resources Ltd
DEF	Defiance Silver Corp
DEFN	Defense Metals Corp
DELX	Delphx Capital Markets Inc
DEX	Almadex Minerals Ltd
DFR	Diamond Fields Resources Inc
DG	Dixie Gold Inc.
DGHI	Digihost Technology Inc.
DGO	Durango Resources Inc
DHR	Discovery Harbour Resources Corp
DIA	Margaret Lake Diamonds Inc
DJI	Dajin Lithium Corp.
DLC	Dlc Holdings Corp
DLP	Mg Capital Corp
DLS	Dealnet Capital Corp
DLTA	Delta Resources Ltd.
DLV.H	Dv Resources Ltd
DM	Datametrex Ai Ltd
DME	Desert Mountain Energy Corp
DMGI	Dmg Blockchain Solutions Inc
DMI	Diamcor Mining Inc
DMR	Damara Gold Corp
DMX	District Metals Corp
DOS	Dios Exploration Inc
DSM	Deep South Resources Inc
DSV	Discovery Metals Corp
DSY	Destiny Media Technologies Inc
DV	Dolly Varden Silver Corp
DVI	Dunnedin Ventures Inc
DWS	Diamond Estates Wines and Spirits Inc
DYA	Dynacert Inc
DYG	Dynasty Gold Corp
EAC	Earth Alive Clean Technologies Inc
EAC.WT	Earth Alive Clean Technologies Inc.
EAM	East Africa Metals Inc
EAS	East Asia Minerals Corp
EAST	Eastwest Bioscience Inc
EAU	Engineer Gold Mines Ltd
EBM	Eastwood Bio Medical Canada Inc
EBY	Emerald Bay Energy Inc
ECC	Ethos Gold Corp
ECM	Ecolomondo Corporation
ECR	Cartier Resources Inc
ECT	Ellipsiz Communications Ltd
EDG	Endurance Gold Corp
EDW.H	Edgewater Exploration Ltd
EECC.P	Efficacious Elk Capital Corp
EGA	Eagle Graphite Incorporated
EGLD	Eclipse Gold Mining Corporation
EGM	Engold Mines Ltd
EGT	Eguana Technologies Inc
EHT	Enerdynamic Hybrid Tech Corp
EIL	Empire Industries Ltd
EKG	Cardiocomm Solutions Inc
EL	Engagement Labs Inc
